sample	kind	channel	note	velocity
1517920	off	10	38	0
1517923	off	10	53	0
1518080	on	2	36	86
1518080	off	2	36	0
1518087	on	10	36	110
1520128	on	2	36	86
1520128	off	2	36	0
1524062	on	10	38	111
1524087	off	10	36	0
1529758	on	10	36	94
1530052	on	10	49	107
1530062	off	10	38	0
1535758	off	10	36	0
1535998	on	10	36	117
1536000	on	2	36	86
1536000	off	2	36	0
1536016	on	10	49	117
1536016	off	10	49	0
1538048	on	2	36	86
1538048	off	2	36	0
1541998	off	10	36	0
1542125	on	10	36	88
1547962	on	10	38	112
1548125	off	10	36	0
1548288	on	2	36	86
1548288	off	2	36	0
1550336	on	2	36	86
1550336	off	2	36	0
1553634	on	10	36	108
1553962	off	10	38	0
1554432	on	2	36	86
1554432	off	2	36	0
1556480	on	2	36	86
1556480	off	2	36	0
1559634	off	10	36	0
1560064	on	2	36	86
1560064	off	2	36	0
1560065	on	10	38	122
1562112	on	2	36	86
1562112	off	2	36	0
1566004	on	10	36	102
1566065	off	10	38	0
1566208	on	2	36	86
1566208	off	2	36	0
1568256	on	2	36	86
1568256	off	2	36	0
1571880	on	10	38	110
1572004	off	10	36	0
1572016	off	10	49	0
1572352	on	2	36	86
1572352	off	2	36	0
1574400	on	2	36	86
1574400	off	2	36	0
1577880	off	10	38	0
1577984	off	2	36	0
1577990	on	10	36	109
1578000	on	2	36	86
1580032	on	2	36	86
1580032	off	2	36	0
1583696	on	10	53	102
1583839	on	10	38	113
1583990	off	10	36	0
1584128	on	2	36	86
1584128	off	2	36	0
1586176	on	2	36	86
1586176	off	2	36	0
1589696	off	10	53	0
1589839	off	10	38	0
1590328	on	10	36	97
1595878	on	10	38	111
1596328	off	10	36	0
1601773	on	10	36	101
1601878	off	10	38	0
1602048	on	2	36	86
1602048	off	2	36	0
1604096	on	2	36	86
1604096	off	2	36	0
1607773	off	10	36	0
1607831	on	10	53	108
1607969	on	10	38	117
1613831	off	10	53	0
1613969	off	10	38	0
1614103	on	10	36	95
1620093	on	10	38	100
1620103	off	10	36	0
1620480	on	2	36	86
1620480	off	2	36	0
1622528	on	2	36	86
1622528	off	2	36	0
1625759	on	10	49	101
